timestamp,mode,feats_down_size,effective_correspondence_count,residual_mean,residual_std,residual_max,signed_dist_abs_mean,signed_dist_abs_std,signed_dist_abs_max,surface_score_mean,surface_score_std,tangent_lp_mean,tangent_lp_std,tangent_lp_max,planarity_mean,planarity_std,acceptance_ratio,match_time,solve_time,kdtree_search_time,kdtree_incremental_time
0.299509,hybrid_plane_surface,350,198,0.012189,0.012199,0.073569,0.012189,0.012199,0.073569,0.937546,0.049644,0.743091,0.641878,3.348519,0.999069,0.002274,0.565714,0.001018,0.000014,0.001149,0.000273
0.399745,hybrid_plane_surface,335,197,0.011739,0.014977,0.103377,0.011739,0.014977,0.103377,0.943154,0.058760,0.511236,0.419212,2.451974,0.998626,0.003189,0.588060,0.001130,0.000020,0.001219,0.000192
0.499587,hybrid_plane_surface,330,192,0.014697,0.023569,0.241997,0.014697,0.023569,0.241997,0.933856,0.081032,0.475548,0.371750,2.021531,0.998043,0.004948,0.581818,0.001005,0.000015,0.001097,0.000129
0.599417,hybrid_plane_surface,323,183,0.015594,0.020592,0.113118,0.015594,0.020592,0.113118,0.927975,0.078722,0.493693,0.373989,1.905504,0.998204,0.003580,0.566563,0.001248,0.000018,0.001510,0.000127
0.700050,hybrid_plane_surface,334,184,0.013832,0.021903,0.170805,0.013832,0.021903,0.170805,0.937283,0.077069,0.451260,0.385957,1.938971,0.998325,0.003797,0.550898,0.001120,0.000017,0.001349,0.000100
0.799881,hybrid_plane_surface,321,177,0.013195,0.015729,0.101003,0.013195,0.015729,0.101003,0.936254,0.063743,0.475808,0.358509,1.929791,0.998780,0.002072,0.551402,0.000962,0.000013,0.001304,0.000198
0.899707,hybrid_plane_surface,350,185,0.014266,0.023187,0.241487,0.014266,0.023187,0.241487,0.935193,0.076696,0.400360,0.348602,1.968209,0.998502,0.002703,0.528571,0.001237,0.000015,0.001264,0.000101
0.999539,hybrid_plane_surface,322,181,0.014304,0.018548,0.171739,0.014304,0.018548,0.171739,0.933133,0.070408,0.458372,0.332707,1.587470,0.998556,0.002898,0.562112,0.001081,0.000019,0.001236,0.000091
1.099395,hybrid_plane_surface,322,176,0.015415,0.023555,0.224286,0.015415,0.023555,0.224286,0.929539,0.082065,0.455066,0.355645,1.876204,0.998650,0.002773,0.546584,0.001034,0.000017,0.001391,0.000065
1.200050,hybrid_plane_surface,345,200,0.014448,0.017201,0.113443,0.014448,0.017201,0.113443,0.932542,0.067210,0.428483,0.322156,1.466132,0.998171,0.004754,0.579710,0.001493,0.000030,0.001612,0.000138
1.299877,hybrid_plane_surface,346,183,0.013853,0.017727,0.138199,0.013853,0.017727,0.138199,0.934641,0.069075,0.441040,0.354905,2.039089,0.998690,0.002271,0.528902,0.001115,0.000017,0.001346,0.000054
1.399706,hybrid_plane_surface,334,190,0.013758,0.021316,0.212286,0.013758,0.021316,0.212286,0.935879,0.072697,0.447803,0.335897,1.721465,0.998570,0.002486,0.568862,0.001085,0.000019,0.001324,0.000066
1.499542,hybrid_plane_surface,349,200,0.013695,0.017618,0.149362,0.013695,0.017618,0.149362,0.937210,0.064189,0.415184,0.345700,1.622931,0.998616,0.002379,0.573066,0.001142,0.000015,0.001500,0.000056
1.599378,hybrid_plane_surface,341,185,0.013239,0.017804,0.117577,0.013239,0.017804,0.117577,0.937854,0.072874,0.410500,0.331366,1.400267,0.998765,0.002045,0.542522,0.001268,0.000018,0.001425,0.000033
1.700006,hybrid_plane_surface,335,190,0.013634,0.015989,0.110262,0.013634,0.015989,0.110262,0.937227,0.061132,0.441259,0.349293,1.793572,0.998074,0.003346,0.567164,0.001201,0.000015,0.001407,0.000044
1.799839,hybrid_plane_surface,336,180,0.013636,0.017603,0.145327,0.013636,0.017603,0.145327,0.935493,0.069594,0.412419,0.314297,1.464152,0.998532,0.002452,0.535714,0.001417,0.000018,0.001513,0.000075
1.899679,hybrid_plane_surface,342,189,0.012770,0.016278,0.147096,0.012770,0.016278,0.147096,0.937357,0.061124,0.429936,0.347406,1.730295,0.997958,0.003584,0.552632,0.001205,0.000014,0.001511,0.000035
1.999515,hybrid_plane_surface,317,172,0.014112,0.018889,0.174260,0.014112,0.018889,0.174260,0.934017,0.067221,0.447126,0.331200,1.730105,0.998366,0.002720,0.542587,0.001032,0.000017,0.001252,0.000039
2.099738,hybrid_plane_surface,343,185,0.014488,0.019195,0.142938,0.014488,0.019195,0.142938,0.933766,0.071749,0.394241,0.310364,1.749889,0.998105,0.003598,0.539359,0.000942,0.000014,0.001337,0.000045
2.199580,hybrid_plane_surface,312,177,0.011722,0.011967,0.069098,0.011722,0.011967,0.069098,0.942404,0.050707,0.419407,0.314521,1.587116,0.998386,0.002718,0.567308,0.001024,0.000017,0.001233,0.000084
2.299423,hybrid_plane_surface,328,182,0.014517,0.018966,0.168618,0.014517,0.018966,0.168618,0.932770,0.068224,0.414279,0.322953,2.060705,0.998318,0.002866,0.554878,0.000894,0.000013,0.001193,0.000026
2.400054,hybrid_plane_surface,339,195,0.013386,0.013876,0.094629,0.013386,0.013876,0.094629,0.936790,0.056169,0.403851,0.312015,1.375578,0.998225,0.003007,0.575221,0.001399,0.000017,0.001586,0.000028
2.499905,hybrid_plane_surface,330,183,0.015554,0.020963,0.209423,0.015554,0.020963,0.209423,0.929001,0.073426,0.439859,0.349310,1.710978,0.997918,0.003975,0.554545,0.001301,0.000018,0.001478,0.000031
2.599730,hybrid_plane_surface,334,183,0.013632,0.017543,0.160446,0.013632,0.017543,0.160446,0.936075,0.063255,0.403338,0.332787,2.016147,0.997766,0.003986,0.547904,0.001089,0.000013,0.001452,0.000080
2.699579,hybrid_plane_surface,348,201,0.015218,0.019298,0.146441,0.015218,0.019298,0.146441,0.929061,0.076326,0.426964,0.316141,1.518096,0.998295,0.002908,0.577586,0.001183,0.000020,0.001293,0.000035
2.799410,hybrid_plane_surface,343,186,0.014788,0.021021,0.157936,0.014788,0.021021,0.157936,0.931599,0.080361,0.437834,0.335449,1.611399,0.998128,0.003523,0.542274,0.000966,0.000012,0.001312,0.000011
2.900033,hybrid_plane_surface,342,183,0.011937,0.011884,0.087769,0.011937,0.011884,0.087769,0.942626,0.047841,0.409717,0.332707,1.649809,0.998260,0.003076,0.535088,0.001203,0.000013,0.001479,0.000045
2.999876,hybrid_plane_surface,339,182,0.013615,0.016622,0.127137,0.013615,0.016622,0.127137,0.936132,0.061691,0.431755,0.342513,1.502815,0.997904,0.003606,0.536873,0.000967,0.000014,0.001250,0.000030
3.099717,hybrid_plane_surface,333,183,0.013500,0.014868,0.085456,0.013500,0.014868,0.085456,0.934066,0.061562,0.439757,0.353104,1.624090,0.997661,0.004344,0.549550,0.001152,0.000018,0.001348,0.000037
3.199560,hybrid_plane_surface,327,176,0.012563,0.013621,0.077146,0.012563,0.013621,0.077146,0.938317,0.057640,0.420213,0.317939,1.461980,0.997972,0.003620,0.538226,0.001231,0.000017,0.001304,0.000050
3.299394,hybrid_plane_surface,347,189,0.014346,0.017714,0.144616,0.014346,0.017714,0.144616,0.933814,0.061692,0.392341,0.366072,2.224005,0.997167,0.005498,0.544669,0.001204,0.000014,0.001488,0.000065
3.400032,hybrid_plane_surface,320,169,0.012214,0.011771,0.066910,0.012214,0.011771,0.066910,0.941064,0.051355,0.403147,0.338847,1.869405,0.998181,0.002963,0.528125,0.001026,0.000014,0.001179,0.000018
3.499873,hybrid_plane_surface,339,184,0.014126,0.018680,0.159586,0.014126,0.018680,0.159586,0.935551,0.065667,0.391097,0.304990,1.613606,0.997807,0.004110,0.542773,0.000998,0.000014,0.001433,0.000051
3.599713,hybrid_plane_surface,325,185,0.013292,0.017651,0.190604,0.013292,0.017651,0.190604,0.938115,0.063854,0.389652,0.292105,1.318521,0.997912,0.003917,0.569231,0.000973,0.000013,0.001238,0.000039
3.699547,hybrid_plane_surface,339,185,0.013232,0.021050,0.220794,0.013232,0.021050,0.220794,0.938413,0.070144,0.418755,0.335480,1.656912,0.997980,0.003747,0.545723,0.000943,0.000014,0.001316,0.000023
3.799398,hybrid_plane_surface,330,176,0.013577,0.018998,0.168651,0.013577,0.018998,0.168651,0.938077,0.063154,0.419646,0.330099,1.575289,0.997780,0.004433,0.533333,0.001114,0.000011,0.001480,0.000031
3.900033,hybrid_plane_surface,346,188,0.012720,0.015475,0.133073,0.012720,0.015475,0.133073,0.938119,0.061519,0.442366,0.352879,1.779961,0.998052,0.003833,0.543353,0.001065,0.000013,0.001379,0.000027
3.999873,hybrid_plane_surface,342,175,0.012952,0.015487,0.110246,0.012952,0.015487,0.110246,0.938114,0.059664,0.436771,0.332145,1.913959,0.997781,0.004624,0.511696,0.001109,0.000017,0.001308,0.000028
4.099734,hybrid_plane_surface,343,180,0.013303,0.016304,0.100435,0.013303,0.016304,0.100435,0.938599,0.061346,0.428332,0.336664,1.628453,0.997947,0.003981,0.524781,0.000938,0.000013,0.001308,0.000021
4.199594,hybrid_plane_surface,346,184,0.014273,0.020415,0.155566,0.014273,0.020415,0.155566,0.935245,0.068409,0.431274,0.345526,1.824059,0.997424,0.004651,0.531792,0.000998,0.000014,0.001379,0.000030
4.299442,hybrid_plane_surface,324,173,0.012880,0.015232,0.090906,0.012880,0.015232,0.090906,0.939392,0.056288,0.429442,0.332170,1.750412,0.997680,0.004779,0.533951,0.001054,0.000013,0.001339,0.000023
4.399693,hybrid_plane_surface,321,166,0.012121,0.013758,0.076996,0.012121,0.013758,0.076996,0.940017,0.057931,0.442976,0.333833,1.563022,0.997904,0.003688,0.517134,0.000942,0.000013,0.001328,0.000021
4.499546,hybrid_plane_surface,344,175,0.013407,0.016662,0.130888,0.013407,0.016662,0.130888,0.938923,0.055036,0.402366,0.328843,1.749225,0.997236,0.005369,0.508721,0.001023,0.000013,0.001356,0.000032
4.599383,hybrid_plane_surface,324,171,0.013024,0.013606,0.084241,0.013024,0.013606,0.084241,0.939170,0.051849,0.430820,0.326704,1.726980,0.997944,0.003476,0.527778,0.001232,0.000017,0.001425,0.000020
4.700023,hybrid_plane_surface,340,173,0.013726,0.017696,0.168344,0.013726,0.017696,0.168344,0.937596,0.057389,0.405962,0.306228,1.601342,0.997792,0.004187,0.508824,0.001103,0.000012,0.001544,0.000023
4.799875,hybrid_plane_surface,332,174,0.013156,0.014399,0.087683,0.013156,0.014399,0.087683,0.939626,0.055109,0.400452,0.320895,1.351996,0.997802,0.004403,0.524096,0.001222,0.000015,0.001477,0.000013
4.899714,hybrid_plane_surface,337,179,0.013662,0.019812,0.212714,0.013662,0.019812,0.212714,0.938768,0.056528,0.407177,0.305224,1.471388,0.997425,0.004842,0.531157,0.000953,0.000013,0.001339,0.000013
4.999548,hybrid_plane_surface,326,178,0.014042,0.017835,0.152413,0.014042,0.017835,0.152413,0.937179,0.057032,0.413981,0.332986,1.442251,0.997453,0.004860,0.546012,0.001433,0.000013,0.001522,0.000062
5.099383,hybrid_plane_surface,347,186,0.013739,0.017131,0.119533,0.013739,0.017131,0.119533,0.935568,0.064515,0.435383,0.335326,1.478893,0.997832,0.004464,0.536023,0.000728,0.000011,0.000943,0.000014
5.200034,hybrid_plane_surface,340,173,0.014005,0.019302,0.129842,0.014005,0.019302,0.129842,0.935482,0.072159,0.428734,0.320624,1.439987,0.997445,0.005351,0.508824,0.000922,0.000011,0.001229,0.000017
5.299870,hybrid_plane_surface,347,186,0.012627,0.014116,0.111198,0.012627,0.014116,0.111198,0.941062,0.053613,0.420115,0.330043,1.560742,0.998020,0.003861,0.536023,0.001310,0.000019,0.001486,0.000027
5.399695,hybrid_plane_surface,348,179,0.013256,0.018825,0.180744,0.013256,0.018825,0.180744,0.939841,0.056959,0.408050,0.325568,1.370974,0.997524,0.004752,0.514368,0.001061,0.000013,0.001404,0.000042
5.499535,hybrid_plane_surface,324,168,0.013020,0.013454,0.080654,0.013020,0.013454,0.080654,0.939812,0.049105,0.416359,0.305148,1.572281,0.997608,0.004901,0.518519,0.000925,0.000013,0.001188,0.000012
5.599379,hybrid_plane_surface,337,173,0.012279,0.014486,0.116654,0.012279,0.014486,0.116654,0.939615,0.056869,0.453095,0.347134,1.686565,0.997775,0.004150,0.513353,0.000866,0.000013,0.000997,0.000016
5.700021,hybrid_plane_surface,332,172,0.013214,0.016783,0.118865,0.013214,0.016783,0.118865,0.939779,0.053917,0.404521,0.323875,1.425860,0.997410,0.005280,0.518072,0.001071,0.000011,0.001278,0.000017
5.799857,hybrid_plane_surface,330,170,0.012053,0.014422,0.107375,0.012053,0.014422,0.107375,0.943476,0.055535,0.422691,0.324803,1.505151,0.997662,0.004229,0.515152,0.001110,0.000014,0.001505,0.000036
5.899706,hybrid_plane_surface,336,177,0.014955,0.022849,0.173693,0.014955,0.022849,0.173693,0.935095,0.068730,0.410411,0.331335,1.706680,0.997363,0.004838,0.526786,0.001288,0.000018,0.001426,0.000012
5.999548,hybrid_plane_surface,329,173,0.012235,0.013437,0.084955,0.012235,0.013437,0.084955,0.942354,0.051040,0.387241,0.309832,1.325529,0.997695,0.004539,0.525836,0.000976,0.000014,0.001346,0.000018
6.099389,hybrid_plane_surface,347,184,0.013048,0.013264,0.100146,0.013048,0.013264,0.100146,0.938983,0.048830,0.414920,0.310394,1.793546,0.997506,0.004444,0.530259,0.000948,0.000014,0.001345,0.000016
6.200028,hybrid_plane_surface,332,184,0.014417,0.017862,0.115532,0.014417,0.017862,0.115532,0.936550,0.057979,0.363058,0.293814,1.416980,0.997491,0.005113,0.554217,0.001261,0.000016,0.001496,0.000012
6.299868,hybrid_plane_surface,341,179,0.012794,0.015355,0.097950,0.012794,0.015355,0.097950,0.939996,0.055520,0.414279,0.314390,1.442778,0.997684,0.004417,0.524927,0.001091,0.000017,0.001319,0.000020
6.399698,hybrid_plane_surface,336,175,0.014783,0.022489,0.214909,0.014783,0.022489,0.214909,0.935187,0.069824,0.408446,0.306701,1.548661,0.997750,0.004607,0.520833,0.001102,0.000018,0.001305,0.000019
6.499538,hybrid_plane_surface,338,180,0.011968,0.012508,0.082679,0.011968,0.012508,0.082679,0.941911,0.051995,0.419616,0.326974,1.537824,0.997965,0.003973,0.532544,0.001176,0.000015,0.001564,0.000032
6.599373,hybrid_plane_surface,348,178,0.014030,0.017319,0.116925,0.014030,0.017319,0.116925,0.935061,0.064708,0.411560,0.330426,1.568448,0.997458,0.005673,0.511494,0.001148,0.000018,0.001304,0.000023
6.700028,hybrid_plane_surface,336,177,0.013318,0.015331,0.091343,0.013318,0.015331,0.091343,0.937749,0.058205,0.403502,0.306285,1.478877,0.997788,0.004421,0.526786,0.001013,0.000015,0.001396,0.000014
6.799870,hybrid_plane_surface,329,174,0.013766,0.016614,0.145784,0.013766,0.016614,0.145784,0.935423,0.059994,0.421783,0.331210,1.427497,0.997487,0.004655,0.528875,0.001080,0.000014,0.001391,0.000016
6.899709,hybrid_plane_surface,337,171,0.013329,0.016379,0.101094,0.013329,0.016379,0.101094,0.937988,0.058806,0.411759,0.332098,1.540548,0.997600,0.004880,0.507418,0.000936,0.000013,0.001330,0.000020
6.999560,hybrid_plane_surface,325,164,0.012895,0.015498,0.108240,0.012895,0.015498,0.108240,0.939085,0.060105,0.429197,0.341102,1.771577,0.997823,0.004139,0.504615,0.001009,0.000012,0.001386,0.000018
7.099397,hybrid_plane_surface,334,172,0.013188,0.015438,0.113188,0.013188,0.015438,0.113188,0.938626,0.056173,0.413344,0.350419,1.769014,0.997740,0.004335,0.514970,0.001112,0.000012,0.001428,0.000017
7.200032,hybrid_plane_surface,330,176,0.013072,0.014642,0.084263,0.013072,0.014642,0.084263,0.940329,0.054374,0.389049,0.302897,1.264796,0.997962,0.003797,0.533333,0.001128,0.000016,0.001282,0.000011
7.299872,hybrid_plane_surface,338,180,0.014295,0.015677,0.113832,0.014295,0.015677,0.113832,0.934063,0.057551,0.419602,0.324397,1.561137,0.997322,0.005021,0.532544,0.001059,0.000013,0.001363,0.000027
7.399702,hybrid_plane_surface,331,181,0.014172,0.014909,0.089997,0.014172,0.014909,0.089997,0.935758,0.054317,0.385942,0.319699,1.519961,0.997700,0.004272,0.546828,0.000965,0.000014,0.001242,0.000028
7.499540,hybrid_plane_surface,349,186,0.013092,0.014040,0.093943,0.013092,0.014040,0.093943,0.938796,0.053174,0.414979,0.324013,1.489347,0.997767,0.003941,0.532951,0.001024,0.000012,0.001328,0.000027
7.599375,hybrid_plane_surface,339,179,0.014635,0.019943,0.180837,0.014635,0.019943,0.180837,0.933774,0.066390,0.426042,0.337669,1.716159,0.997714,0.004070,0.528024,0.001044,0.000012,0.001329,0.000014
7.700013,hybrid_plane_surface,335,180,0.012518,0.013726,0.094175,0.012518,0.013726,0.094175,0.940315,0.053171,0.409775,0.334797,1.438507,0.997903,0.004021,0.537313,0.001117,0.000012,0.001432,0.000022
7.799858,hybrid_plane_surface,348,171,0.013276,0.015997,0.113111,0.013276,0.015997,0.113111,0.937974,0.059629,0.422430,0.321978,1.873951,0.997934,0.003700,0.491379,0.000948,0.000011,0.001317,0.000009
7.899704,hybrid_plane_surface,343,175,0.011896,0.012438,0.099607,0.011896,0.012438,0.099607,0.942653,0.049301,0.409293,0.335683,1.791244,0.998241,0.003253,0.510204,0.001414,0.000020,0.001482,0.000026
7.999546,hybrid_plane_surface,339,161,0.012339,0.015407,0.124092,0.012339,0.015407,0.124092,0.940958,0.060148,0.406413,0.326126,1.846986,0.997726,0.003992,0.474926,0.000911,0.000011,0.001298,0.000021
8.099370,hybrid_plane_surface,341,179,0.014219,0.016860,0.109851,0.014219,0.016860,0.109851,0.933997,0.059438,0.428988,0.311421,1.429005,0.997452,0.004761,0.524927,0.000967,0.000013,0.001362,0.000013
8.199999,hybrid_plane_surface,327,164,0.012458,0.013400,0.111199,0.012458,0.013400,0.111199,0.939828,0.053681,0.432679,0.362244,1.987876,0.997945,0.003680,0.501529,0.000909,0.000012,0.001288,0.000011
8.299837,hybrid_plane_surface,340,183,0.013512,0.018606,0.137120,0.013512,0.018606,0.137120,0.937691,0.062748,0.426252,0.341041,1.893355,0.997717,0.004124,0.538235,0.001108,0.000018,0.001349,0.000018
8.399681,hybrid_plane_surface,347,177,0.012955,0.013915,0.086122,0.012955,0.013915,0.086122,0.939300,0.052596,0.415048,0.312501,1.313709,0.997456,0.005328,0.510086,0.000985,0.000011,0.001302,0.000024
8.499522,hybrid_plane_surface,336,176,0.014037,0.015987,0.110075,0.014037,0.015987,0.110075,0.935086,0.062684,0.421933,0.343549,1.746704,0.998014,0.003706,0.523810,0.000969,0.000014,0.001346,0.000033
8.599365,hybrid_plane_surface,322,170,0.014212,0.016574,0.111329,0.014212,0.016574,0.111329,0.936394,0.059554,0.383290,0.304234,1.395079,0.997709,0.004496,0.527950,0.001409,0.000020,0.001542,0.000056
8.700016,hybrid_plane_surface,341,182,0.013618,0.018917,0.172951,0.013618,0.018917,0.172951,0.936438,0.065274,0.414040,0.354883,1.819499,0.997803,0.003825,0.533724,0.001065,0.000012,0.001403,0.000028
8.799861,hybrid_plane_surface,341,185,0.014373,0.017472,0.113835,0.014373,0.017472,0.113835,0.933914,0.064791,0.420924,0.339364,1.656551,0.997628,0.004405,0.542522,0.001117,0.000011,0.001382,0.000024
8.899703,hybrid_plane_surface,341,172,0.012332,0.014552,0.087445,0.012332,0.014552,0.087445,0.940520,0.055346,0.422688,0.339690,1.828226,0.997852,0.004038,0.504399,0.000960,0.000011,0.001227,0.000026
8.999540,hybrid_plane_surface,338,175,0.014436,0.020338,0.169036,0.014436,0.020338,0.169036,0.933547,0.075062,0.422438,0.316130,1.575522,0.997887,0.003750,0.517751,0.000903,0.000012,0.001256,0.000013
9.099387,hybrid_plane_surface,337,174,0.011760,0.011726,0.071920,0.011760,0.011726,0.071920,0.943568,0.044766,0.406066,0.343766,1.757226,0.998305,0.003215,0.516320,0.000899,0.000012,0.001266,0.000013
9.200026,hybrid_plane_surface,352,188,0.012850,0.013540,0.085029,0.012850,0.013540,0.085029,0.937542,0.054222,0.427685,0.354454,1.590185,0.997341,0.004586,0.534091,0.001231,0.000015,0.001625,0.000018
9.299863,hybrid_plane_surface,340,177,0.014308,0.018831,0.153626,0.014308,0.018831,0.153626,0.933960,0.069499,0.406022,0.348320,1.799389,0.997569,0.004869,0.520588,0.000935,0.000011,0.001282,0.000016
9.399727,hybrid_plane_surface,340,175,0.013591,0.018497,0.175328,0.013591,0.018497,0.175328,0.936359,0.068365,0.435365,0.392724,1.799040,0.997773,0.004146,0.514706,0.000941,0.000014,0.001326,0.000015
9.499567,hybrid_plane_surface,340,188,0.013879,0.015815,0.107672,0.013879,0.015815,0.107672,0.934760,0.060909,0.437208,0.364973,1.922975,0.997713,0.004110,0.552941,0.001135,0.000017,0.001313,0.000050
9.599397,hybrid_plane_surface,337,174,0.012771,0.015146,0.104993,0.012771,0.015146,0.104993,0.938650,0.057390,0.432124,0.332632,1.421717,0.997717,0.004542,0.516320,0.000909,0.000013,0.001287,0.000036
9.700039,hybrid_plane_surface,347,172,0.013832,0.019792,0.166712,0.013832,0.019792,0.166712,0.935897,0.071543,0.433691,0.365463,2.092768,0.997666,0.004385,0.495677,0.000917,0.000013,0.001294,0.000022
9.799877,hybrid_plane_surface,373,203,0.015560,0.022452,0.172660,0.015560,0.022452,0.172660,0.924055,0.087916,0.604068,0.658463,3.714659,0.998407,0.003025,0.544236,0.001193,0.000020,0.001458,0.000041
